title,description,published_at,source,url
Nvidia CEO Jensen Huang just got a pay rise for the first time in a decade,Huang's salary surges by 49%,2025-05-02 16:03:00+00:00,TechRadar,https://www.techradar.com/pro/nvidia-ceo-jensen-huang-just-got-a-pay-rise-for-the-first-time-in-a-decade
Nvidia and MediaTek rumoured to announce new Windows on Arm laptop chips at Computex 2025,"The show kicks off in a few weeks, so AMD APUs could have stiff competition very soon.",2025-05-07 10:40:23+00:00,PC Gamer,https://www.pcgamer.com/hardware/processors/nvidia-and-mediatek-rumoured-to-announce-new-windows-on-arm-laptop-chips-at-computex-2025/
OpenSearch 3.0 Released,"Latest iteration bolsters open, scalable, community-driven search and analytics, enabling sustainable innovation SAN FRANCISCO – May 6, 2025 – The OpenSearch Software Foundation, the vendor-neutral home for the OpenSearch Project,...",2025-05-07 15:38:46+00:00,Opensearch.org,https://opensearch.org/blog/opensearch-3-0-enhances-vector-database-performance/
"Nvidia Dynamo And Storage Next Boost AI Storage, Performance And Lowers Costs",Nvidia’s Dynamo enables faster and more efficient AI inference with scalable digital storage and memory hierarchical KV caching. More to come.,2025-05-07 18:51:00+00:00,Forbes,https://www.forbes.com/sites/tomcoughlin/2025/05/07/nvidia-dynamo-and-storage-next-boost-ai-storage-performance-and-lowers-costs/
"Nvidia RTX Pro 6000 Blackwell appears online with an eye-watering price tag of over $11,000","Over three-times the cost of a price-inflated RTX 5090, but it has more CUDA cores and a massive 96GB of GDDR7 memory.",2025-05-05 13:20:44+00:00,Tom's Hardware UK,https://www.tomshardware.com/pc-components/gpus/nvidia-rtx-pro-6000-blackwell-appears-online-with-an-eye-watering-price-tag-of-over-usd11-000
Just good enough: Huawei's new AI chip is only a small stepping stone towards domestic hegemony and an Nvidia-free China,"Reports says Huawei is preparing to test its most advanced AI chip yet, but can Ascend 910D challenge Nvidia's H100?",2025-05-07 17:34:00+00:00,TechRadar,https://www.techradar.com/pro/just-good-enough-huaweis-new-ai-chip-is-only-a-small-stepping-stone-towards-domestic-hegemony-and-an-nvidia-free-china
Back in Stock: Save $600 Off the Popular Lenovo Legion RTX 4070 Super Prebuilt Gaming PC,This is a great rig for gaming at up to 1440p.,2025-05-06 20:20:00+00:00,IGN,https://www.ign.com/articles/lenovo-legion-rtx-4070-super-prebuilt-gaming-pc-deal
"GeForce NOW is gaining Doom: The Dark Ages, Revenge of the Savage Planet, and more in May","Nvidia has announced the games it plans to bring to GeForce NOW subscribers during May, which include Doom: The Dark Ages, Monster Train 2, and much more. Read more...",2025-05-01 23:04:01+00:00,Neowin,https://www.neowin.net/news/geforce-now-is-gaining-doom-the-dark-ages-revenge-of-the-savage-planet-and-more-in-may/
"Alienware Aurora Desktop: Intel Ultra 9 285, RTX 5080, 32GB DDR5, 1TB SSD $2450 or less + Free Shipping","Dell Technologies has Alienware Aurora Desktop on sale for $2449.99. Shipping is free.

Thanks Community Member Dr.Wajahat for sharing this deal

Note: New customers may receive an additional  ...",2025-05-06 13:33:11+00:00,Slickdeals.net,https://slickdeals.net/f/18294850-alienware-aurora-desktop-intel-ultra-9-285-rtx-5080-32gb-ddr5-1tb-ssd-2450-or-less-free-shipping
"There is no shortage of RTX 5070 cards, includeing FE, in Europe and prices are going down","Prices are going down, and availability improves, which is good news for those wanting an RTX 5070 graphics card in Europe (apparently, not many). Read more...",2025-05-01 20:22:02+00:00,Neowin,https://www.neowin.net/news/there-is-no-shortage-of-rtx-5070-cards-includeing-fe-in-europe-and-prices-are-going-down/
The Gigabyte GeForce RTX 5070 Graphics Card Is in Stock at MSRP for Amazon Prime Members,Includes a copy of Doom: The Dark Ages.,2025-05-07 16:55:00+00:00,IGN,https://www.ign.com/articles/nvidia-geforce-rtx-5070-graphics-card-is-in-stock-at-msrp-on-amazon-2
US politicians want to track Nvidia chips smuggled to China,"A former particle physicist and chip designer is advocating for US authorities to adopt an effective method for tracking Nvidia GPUs. ""The technology is already there,"" a supporter of the bill said, adding that the US Department of Commerce would simply need …",2025-05-06 19:28:00+00:00,TechSpot,https://www.techspot.com/news/107820-us-politicians-want-track-location-nvidia-chips-smuggled.html
"Samsung Odyssey 3D Review: This Glasses-Free 3D Monitor Can Impress, But Poor Games Support Kills It","The Odyssey 3D monitor is like a giant Nintendo 3DS screen, but $2,000 for 14 supported games isn't nearly enough.",2025-05-01 17:30:20+00:00,Gizmodo.com,https://gizmodo.com/samsung-odyssey-3d-review-this-glasses-free-3d-monitor-can-impress-but-poor-games-support-kills-it-2000594606
Nvidia denies 'tall tales' that chips are being smuggled in fake baby bumps and alongside live lobsters,This is just weeks before the implementation of the AI Diffusion Rule.,2025-05-02 15:19:19+00:00,PC Gamer,https://www.pcgamer.com/hardware/graphics-cards/nvidia-denies-tall-tales-that-chips-are-being-smuggled-in-fake-baby-bumps-and-alongside-live-lobsters/
Security updates for Friday,"Security updates have been issued by Debian (chromium, nodejs, openjdk-17, and thunderbird), Fedora (firefox, golang-github-nvidia-container-toolkit, and thunderbird), Mageia (kernel), Oracle (ghostscript, glibc, kernel, libxslt, php:8.1, and thunderbird), SU…",2025-05-02 13:20:36+00:00,Lwn.net,https://lwn.net/Articles/1019869/
